customer_id,customer_name,email,phone_number,address
CUST001,Margaret Burns,christopher85@example.org,726.813.8397x426,"75338 Ruben Streets Suite 352
Lake Williamborough, MH 26135"
CUST002,Catherine Shaw,, ,"339 Shawn Neck Apt. 074
Melissastad, AZ 43935"
CUST003,Crystal Palmer,nroberts@example.org,,"91475 Dickson Shores
Williamsstad, UT 41864"
CUST004,Megan Thompson,murrayolivia@example.net,, 
CUST005,Valerie Cuevas,caleb22@example.com,+1-776-669-9551x39035,"88400 Elizabeth Light
Lake Kevinton, MP 62279"
CUST006,Scott Good,amanda17@example.com,2054702923,"5532 Rush Garden
South Danieltown, NY 48058"
CUST007,Joshua Sullivan,amartinez@example.com, ,"44052 Carol Vista Suite 008
East Ianmouth, VT 11529"
CUST008,Kelly Evans,timothy18@example.org,(290)833-9047x8387,"57709 Ariel Loop
Lake Deniseport, OR 43288"
CUST009,Mandy Foster,espinozasamantha@example.net,001-252-402-6164x8317,
CUST010,Roy Willis,oalexander@example.com,,
CUST011,Sandra Hurley,wardjames@example.org,+1-564-819-8016,
CUST012,Jenny Pitts,johnmoore@example.com,(743)544-9145x3341,"239 Dean Burgs
Lake Davidport, IN 50630"
CUST013,Joanna Rose,,(279)994-7846x52084, 
CUST014,Mrs. Elizabeth Garcia,nathanavila@example.com,(456)868-8170x90304,"9271 Susan Drive
Port Rogerport, WY 72868"
CUST015,Amanda Williams,kaylaedwards@example.com,+1-900-722-5676x56449,"530 Janice Street Apt. 273
South Susan, OH 90352"
CUST016,Krista Butler,katherinekeith@example.org,+1-432-216-4881x045,"99688 Grimes Lodge Apt. 436
Farrellborough, VT 55520"
CUST017,Katie Brady,msmith@example.net,815-382-1038x39875,
CUST018,Michael Flynn,qwright@example.net,(914)755-9454x435,"989 Carney Centers Apt. 264
Contrerastown, MS 93629"
CUST019,Glenn Owen,gnguyen@example.net,221-640-9637,"5244 Daniel Brooks Apt. 580
Garciaville, LA 15820"
CUST020,,kayla40@example.net,(879)266-5066,"8655 Darlene Valleys Suite 066
Caitlinfort, RI 87195"
CUST021,,,3578925349,"07903 Lauren Place
Smithborough, SC 06825"
CUST022,Kenneth Lowe,,268-849-6633,"375 Gonzalez Dam Apt. 583
New Kevinton, LA 58470"
CUST023,Catherine Rivera,carol59@example.com,, 
CUST024,Kerry Hays,davidlarson@example.com,672-555-6746,"519 Jared Green Suite 032
Ayersshire, CA 84394"
